department,department_id,code,title,grade,type,credit,prerequisite,description,curriculum_year,ministry_source_url
Social Sciences and Humanities,ONTARIO-SSH,HFA4C,Nutrition and Health,12,College Preparation,1.0,None,"This course focuses on the relationship between nutrition and health at different stages of life and on global issues related to food production. Students will investigate the role of nutrition in health and disease and assess strategies for promoting food security and environmental responsibility. Students will learn about healthy eating, expand their repertoire of food-preparation techniques, and refine their ability to use social science research and inquiry methods to investigate topics related to nutrition and health.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfa4c
Social Sciences and Humanities,ONTARIO-SSH,HFA4U,Nutrition and Health,12,University Preparation,1.0,None,"This course examines the relationships between food, energy balance, and nutritional status; the nutritional needs of individuals at different stages of life; and the role of nutrition in health and disease. Students will evaluate nutrition-related trends and will determine how food choices can promote food security and environmental responsibility. Students will learn about healthy eating, expand their repertoire of food-preparation techniques, and develop their social science research skills by investigating issues related to nutrition and health.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfa4u
Social Sciences and Humanities,ONTARIO-SSH,HFC3E,Food and Culture,11,Workplace Preparation,1.0,None,"This course focuses on the flavours, aromas, cooking techniques, foods, and cultural traditions of world cuisines. Students will demonstrate the ability to cook with ingredients and equipment from a range of cultures, describe food-related etiquette in a variety of countries and cultures, and explore ways in which Canadian food choices and traditions have been influenced by other cultures. Students will have opportunities to develop practical skills and apply research skills as they investigate foods and food practices from around the world.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfc3e
Social Sciences and Humanities,ONTARIO-SSH,HFC3M,Food and Culture,11,University/College Preparation,1.0,None,"This course focuses on the flavours, aromas, cooking techniques, foods, and cultural traditions of world cuisines. Students will explore the origins of and developments in diverse food traditions. They will demonstrate the ability to cook with ingredients and equipment from a variety of cultures, compare food-related etiquette in many countries and cultures, and explain how Canadian food choices and traditions have been influenced by other cultures. Students will develop practical skills and apply social science research methods while investigating foods and food practices from around the world.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfc3m
Social Sciences and Humanities,ONTARIO-SSH,HFL4E,Food and Healthy Living,12,Workplace Preparation,1.0,None,"This course focuses on the fundamental food needs of young adults. Students will learn how to stock a kitchen, make nutritious food choices, and accommodate the food needs of others. Through a range of practical experiences, they will develop skills needed in food preparation for personal use and for employment in the food industry. They will also learn about dining etiquette in different contexts and about responsible consumer practices. Students will use social science research methods to investigate issues related to food preparation and nutrition.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfl4e
Social Sciences and Humanities,ONTARIO-SSH,HFN1O,Food and Nutrition,9,Open,1.0,None,"This course focuses on guidelines for making nutritious food choices. Students will investigate factors that influence food choices, including beliefs, attitudes, current trends, traditional eating patterns, food-marketing strategies, and individual needs. Students will also explore the environmental impact of a variety of food choices at the local and global level. The course provides students with opportunities to develop food-preparation skills and introduces them to the use of social science research methods in the area of food and nutrition.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfn1o
Social Sciences and Humanities,ONTARIO-SSH,HFN2O,Food and Nutrition,10,Open,1.0,None,"This course focuses on guidelines for making nutritious food choices. Students will investigate factors that influence food choices, including beliefs, attitudes, current trends, traditional eating patterns, food-marketing strategies, and individual needs. Students will also explore the environmental impact of a variety of food choices at the local and global level. The course provides students with opportunities to develop food-preparation skills and introduces them to the use of social science research methods in the area of food and nutrition.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hfn2o
Social Sciences and Humanities,ONTARIO-SSH,HHD3O,Dynamics of Human Relationships,11,Open,1.0,None,"This course focuses on helping students understand the individual and group factors that contribute to healthy relationships. Students will examine the connections between their own self-concept and their interpersonal relationships. They will learn and practise strategies for developing and maintaining healthy relationships with friends, family, and community members, as well as with partners in intimate relationships. Students will use research and inquiry skills to investigate topics related to healthy relationships.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hhd3o
Social Sciences and Humanities,ONTARIO-SSH,HHG4M,Human Development throughout the Lifespan,12,University/College Preparation,1.0,None,"This course offers a multidisciplinary approach to the study of human development throughout the lifespan. Students will learn about a range of theoretical perspectives on human development. They will examine threats to healthy development as well as protective factors that promote resilience. Students will learn about physical, cognitive, and social-emotional development from the prenatal period through old age and will develop their research and inquiry skills by investigating issues related to human development.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hhg4m
Social Sciences and Humanities,ONTARIO-SSH,HHS4C,Families in Canada,12,College Preparation,1.0,None,"This course enables students to develop an understanding of social science theories as they apply to individual development, the development of intimate relationships, and family and parent-child relationships. Students will explore a range of issues relating to the development of individuals and families in contemporary Canadian society as well as in other cultures and historical periods. They will develop the investigative skills required to conduct research on individuals, intimate relationships, and parent-child roles and relationships in Canada.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hhs4c
Social Sciences and Humanities,ONTARIO-SSH,HHS4U,Families in Canada,12,University Preparation,1.0,None,"This course enables students to draw on sociological, psychological, and anthropological theories and research to analyse the development of individuals, intimate relationships, and family and parent-child relationships. Students will focus on issues and challenges facing individuals and families in Canada’s diverse society. They will develop analytical tools that enable them to assess various factors affecting families and to consider policies and practices intended to support families in Canada. They will develop the investigative skills required to conduct and communicate the results of research on individuals, intimate relationships, and parent-child relationships.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hhs4u
Social Sciences and Humanities,ONTARIO-SSH,HIF1O,Exploring Family Studies,9,Open,1.0,None,"This course explores, within the context of families, some of the fundamental challenges people face: how to meet basic needs, how to relate to others, how to manage resources, and how to become responsible members of society. Students will explore adolescent development and will have opportunities to develop interpersonal, decision-making, and practical skills related to daily life. They will learn about the diverse ways in which families function in Canada and will use research skills as they explore topics related to individual and family needs and resources.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hif1o
Social Sciences and Humanities,ONTARIO-SSH,HIF2O,Exploring Family Studies,10,Open,1.0,None,"This course explores, within the context of families, some of the fundamental challenges people face: how to meet basic needs, how to relate to others, how to manage resources, and how to become responsible members of society. Students will explore adolescent development and will have opportunities to develop interpersonal, decision-making, and practical skills related to daily life. They will learn about the diverse ways in which families function in Canada and will use research skills as they explore topics related to individual and family needs and resources.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hif2o
Social Sciences and Humanities,ONTARIO-SSH,HIP4O,Personal Life Management,12,Open,1.0,None,"This course focuses on preparing students for living independently and working successfully with others. Students will learn to manage their personal resources to meet their basic needs for food, clothing, and housing. They will also learn about their personal, legal, and financial responsibilities and develop and apply interpersonal skills in order to make wise and responsible personal and occupational choices. Students will apply research and inquiry skills while investigating topics related to personal life management. The course emphasizes the achievement of expectations through practical experiences.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hip4o
Social Sciences and Humanities,ONTARIO-SSH,HLS3O,Housing and Home Design,11,Open,1.0,None,"This course introduces students to a range of issues related to housing and home design. Students will learn about the needs that housing fulfils; housing options; home maintenance and safety; and environmental, economic, legal, and social considerations related to housing. They will use the elements and principles of design to analyse design and decorating decisions. Students will develop research skills as they investigate issues related to housing and home design.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hls3o
Social Sciences and Humanities,ONTARIO-SSH,HNB4M,The World of Fashion,12,University/College Preparation,1.0,None,"This course gives students the opportunity to explore the world of fashion. Students will learn how to create a fashion product using various tools, techniques, and technologies while developing their practical skills. Students will learn about various factors that affect the global fashion industry, the needs of specialized markets, and the impact of fibre and fabric production and care. In addition, they will learn about social and historical influences on fashion. Students will apply research skills when investigating aspects of the fashion world.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hnb4m
Social Sciences and Humanities,ONTARIO-SSH,HNC3C,Understanding Fashion,11,College Preparation,1.0,None,"This course introduces students to the world of fashion. Students will gain an understanding of theories related to fashion trends and of how culture, media, fashion cycles, retailing, and social and environmental factors influence fashion trends and consumer behaviour. Students will use various tools, technologies, and techniques safely and correctly to create fashion items. In addition, students will apply knowledge of fibres, fabrics, and the elements and principles of design when creating and assessing fashion-related products. Students will develop research skills as they investigate topics related to fashion.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hnc3c
Social Sciences and Humanities,ONTARIO-SSH,HNL2O,Clothing,10,Open,1.0,None,"This course introduces students to the world of clothing. Students will gain knowledge about clothing and demonstrate basic skills associated with various techniques and technologies used to create garments and accessories. Students will learn about the functions of clothing and accessories and what clothing communicates about the wearer. They will learn how to enhance their personal wardrobe by assessing garment quality, developing shopping strategies, and developing an understanding of the advantages and disadvantages of various retail formats. Students will develop research skills as they investigate topics related to clothing.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hnl2o
Social Sciences and Humanities,ONTARIO-SSH,HPC3O,Raising Healthy Children,11,Open,1.0,None,"This course focuses on the skills and knowledge parents, guardians, and caregivers need, with particular emphasis on maternal health, pregnancy, birth, and the early years of human development (birth to six years old). Through study and practical experience, students will learn how to meet the developmental needs of young children, communicate with them, and effectively guide their early behaviour. Students will develop their research skills through investigations related to caregiving and child rearing.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hpc3o
Social Sciences and Humanities,ONTARIO-SSH,HPD4C,Working with School-Age Children and Adolescents,12,College Preparation,1.0,None,"This course prepares students for occupations involving school-age children and adolescents. Students will study a variety of theories about child behaviour and development, and will have opportunities for research and observation and for practical experiences with older children. Students will become familiar with occupational opportunities and requirements related to working with older children and adolescents. They will develop research skills used in investigating child and adolescent behaviour and development.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hpd4c
Social Sciences and Humanities,ONTARIO-SSH,HPW3C,Working with Infants and Young Children,11,College Preparation,1.0,None,"This course prepares students for occupations involving children from birth to six years of age. Students will study theories about child behaviour and development, and will have opportunities for research and observation and for practical experiences with young children. Students will become familiar with occupational opportunities and requirements related to working with infants and young children. They will also have opportunities to develop research and critical-thinking skills as they investigate and evaluate current research about early childhood education.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hpw3c
Social Sciences and Humanities,ONTARIO-SSH,HRF3O,World Religions and Belief Traditions in Daily Life,11,Open,1.0,None,"This course enables students to study world religions and belief traditions in local, Canadian, and global contexts. Students will explore aspects of the human quest for meaning and will examine world religions and belief traditions as exemplified in various sacred teachings and principles, rites, and passages. They will also study the interaction throughout history between society and various belief traditions, and will have opportunities to develop research and inquiry skills related to the study of world religions and belief traditions.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hrf3o
Social Sciences and Humanities,ONTARIO-SSH,HRT3M,"World Religions and Belief Traditions: Perspectives, Issues, and Challenges",11,University/College Preparation,1.0,None,"This course provides students with opportunities to explore various world religions and belief traditions. Students will develop knowledge of the terms and concepts relevant to this area of study, will examine the ways in which religions and belief traditions meet various human needs, and will learn about the relationship between belief and action. They will examine sacred writings and teachings, consider how concepts of time and place influence different religions and belief traditions, and develop research and inquiry skills related to the study of human expressions of belief.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hrt3m
Social Sciences and Humanities,ONTARIO-SSH,HSB4U,Challenge and Change in Society,12,University Preparation,1.0,None,"This course focuses on the use of social science theories, perspectives, and methodologies to investigate and explain shifts in knowledge, attitudes, beliefs, and behaviour and their impact on society. Students will critically analyse how and why cultural, social, and behavioural patterns change over time. They will explore the ideas of social theorists and use those ideas to analyse causes of and responses to challenges such as technological change, deviance, and global inequalities. Students will explore ways in which social science research methods can be used to study social change.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hsb4u
Social Sciences and Humanities,ONTARIO-SSH,HSC4M,World Cultures,12,University/College Preparation,1.0,None,"This course examines the nature of culture; how cultural identities are acquired, maintained, and transformed; and theories used to analyse cultures. Students will explore world cultures, with an emphasis on the analysis of religious and spiritual beliefs, art forms, and philosophy. They will study the contributions and influence of a range of cultural groups and will critically analyse issues facing ethnocultural groups within Canada and around the world. Students will develop and apply research skills and will design and implement a social action initiative relating to cultural diversity.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hsc4m
Social Sciences and Humanities,ONTARIO-SSH,HSE3E,"Equity, Diversity, and Social Justice",11,Workplace Preparation,1.0,None,"This course enables students to develop an understanding of historical and contemporary issues relating to equity, diversity, and social justice in a variety of contexts. Students will explore the nature of diversity and power relations in Canada and how social norms shape individual identity. They will learn about social activism and how to address situations that involve discrimination, harassment, and denial of rights. Students will develop and apply research skills and will design and implement a social action initiative relating to an equity, diversity, or social justice issue.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hse3e
Social Sciences and Humanities,ONTARIO-SSH,HSE4M,Equity and Social Justice: From Theory to Practice,12,University/College Preparation,1.0,None,"This course enables students to develop an understanding of the theoretical, social, and historical underpinnings of various equity and social justice issues and to analyse strategies for bringing about positive social change. Students will learn about historical and contemporary equity and social justice issues in Canada and globally. They will explore power relations and the impact of a variety of factors on equity and social justice. Students will develop and apply research skills and will design and implement a social action initiative relating to an equity or social justice issue.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hse4m
Social Sciences and Humanities,ONTARIO-SSH,HSG3M,Gender Studies,11,University/College Preparation,1.0,None,"This course enables students to explore the social construction of gender. Students will learn about the dynamic nature of gender roles and norms; sexism and power relations; and the impact of representations of women and men in the media, popular culture, and the arts. Students will analyse a range of gender equity issues, including gender-based violence and workplace equity, in both Canadian and global contexts. Students will develop and apply research skills and will design and implement a social action initiative relating to gender equity.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hsg3m
Social Sciences and Humanities,ONTARIO-SSH,HSP3C,"Introduction to Anthropology, Psychology, and Sociology",11,College Preparation,1.0,None,"This course introduces students to theories, questions, and issues related to anthropology, psychology, and sociology. Students learn about approaches and research methods used by social scientists. Students will be given opportunities to apply theories from a variety of perspectives, to conduct social science research, and to become familiar with current issues within the three disciplines.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hsp3c
Social Sciences and Humanities,ONTARIO-SSH,HSP3U,"Introduction to Anthropology, Psychology, and Sociology",11,University Preparation,1.0,None,"This course provides students with opportunities to think critically about theories, questions, and issues related to anthropology, psychology, and sociology. Students will develop an understanding of the approaches and research methods used by social scientists. They will be given opportunities to explore theories from a variety of perspectives, to conduct social science research, and to become familiar with current thinking on a range of issues within the three disciplines.",2013,https://www.dcp.edu.gov.on.ca/en/curriculum/social-sciences-humanities/courses/hsp3u
